需求编号,来源章节,原子需求,工作包,实现位置,自动化验证,页面验证,状态,证据位置,产品确认人及版本
UP-01,用户完整方案第6节,投入图片名称规格及编码只展示一次,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,实际投入存在历史身份/对应图缺失；印花PH-20260328-003等明确缺图，未使用原计划图冒充。见printing-actual-material-gaps.json；图片完整性专项未通过。,已阻塞,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-two-end-list.log；output/playwright/process-order-review/check-preparation-real-receipt-chain.log；output/playwright/process-order-review/dye-missing-assets.json；output/playwright/process-order-review/printing-missing-assets.json；output/playwright/process-order-review/printing-actual-material-gaps.json,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
UP-02,用户完整方案第6节,展示实际供料方和主要来源单据,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,查看投入/上游及详情的来源、接收和调整记录,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-two-end-list.log；output/playwright/process-order-review/check-preparation-real-receipt-chain.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
UP-03,用户完整方案第6节,投入只展示计划已收已用三个数量,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,查看投入/上游及详情的来源、接收和调整记录,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-two-end-list.log；output/playwright/process-order-review/check-preparation-real-receipt-chain.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
UP-04,用户完整方案第6节,多次供料可展开逐笔单据数量,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,查看投入/上游及详情的来源、接收和调整记录,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-two-end-list.log；output/playwright/process-order-review/check-preparation-real-receipt-chain.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
UP-05,用户完整方案第6节,多个供料方不以其中一家代表全部,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,查看投入/上游及详情的来源、接收和调整记录,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-two-end-list.log；output/playwright/process-order-review/check-preparation-real-receipt-chain.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
UP-06,用户完整方案第6节,未确定供料方与未生成单据分别提示,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,查看投入/上游及详情的来源、接收和调整记录,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-two-end-list.log；output/playwright/process-order-review/check-preparation-real-receipt-chain.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
UP-07,用户完整方案第6节,历史接收未知显示待补录不填零,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,查看投入/上游及详情的来源、接收和调整记录,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-two-end-list.log；output/playwright/process-order-review/check-preparation-real-receipt-chain.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
UP-08,用户完整方案第6节,换料突出实际物料，保留原计划与调整记录,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,查看投入/上游及详情的来源、接收和调整记录,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-two-end-list.log；output/playwright/process-order-review/check-preparation-real-receipt-chain.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
UP-09,用户完整方案第6节,库存明细移入详情或调整投入界面,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-list-unified；check-printing-two-end-list；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,查看投入/上游及详情的来源、接收和调整记录,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-two-end-list.log；output/playwright/process-order-review/check-preparation-real-receipt-chain.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
DOWN-01,用户完整方案第7节,产出物料准确且图片不冒充加工实拍结果,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,16条染色缺独立产出档案/实物图；12条印花产出图仍需准确对应核验，不能将参考图认定正式产出图。,已阻塞,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-output-documents.log；output/playwright/process-order-review/check-dye-list-unified.log；output/playwright/process-order-review/dye-missing-assets.json；output/playwright/process-order-review/printing-missing-assets.json；output/playwright/process-order-review/printing-actual-material-gaps.json,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
DOWN-02,用户完整方案第7节,下道工序接收单位仓库分别可读,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,下道关系与实际接收方分开；逐笔交接按需展开,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-output-documents.log；output/playwright/process-order-review/check-dye-list-unified.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
DOWN-03,用户完整方案第7节,下游单可打开，缺失则提示待生成,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,下道关系与实际接收方分开；逐笔交接按需展开,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-output-documents.log；output/playwright/process-order-review/check-dye-list-unified.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
DOWN-04,用户完整方案第7节,多次交出可展开完整交接记录,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,下道关系与实际接收方分开；逐笔交接按需展开,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-output-documents.log；output/playwright/process-order-review/check-dye-list-unified.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
DOWN-05,用户完整方案第7节,完成已交下游已收及有余额的待收准确展示,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,下道关系与实际接收方分开；逐笔交接按需展开,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-output-documents.log；output/playwright/process-order-review/check-dye-list-unified.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
DOWN-06,用户完整方案第7节,已确认差异与在途待收区分,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,下道关系与实际接收方分开；逐笔交接按需展开,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-output-documents.log；output/playwright/process-order-review/check-dye-list-unified.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
DOWN-07,用户完整方案第7节,不改写历史接收对象,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/pages/process-factory/printing/relations.ts；src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/printing/work-orders.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents；check-preparation-real-receipt-chain；check-process-order-three-axis-flow,下道关系与实际接收方分开；逐笔交接按需展开,已验证,output/playwright/process-order-review/browser-check.json；output/playwright/process-order-review/check-printing-output-documents.log；output/playwright/process-order-review/check-dye-list-unified.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
STA-01,用户完整方案第8节,三个独立状态集中展示且独立筛选,D/P/V,src/data/fcs/process-order-three-axis-view.ts；src/data/fcs/printing-task-domain.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents；check-process-order-three-axis-flow,状态三行独立，部分批次提示与下游待收分开,已验证,output/playwright/process-order-review/check-dye-material-receipts.log；output/playwright/process-order-review/check-printing-partial-batches.log；output/playwright/process-order-review/browser-check.json,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
STA-02,用户完整方案第8节,部分接收加工交出可以并存,D/P/V,src/data/fcs/process-order-three-axis-view.ts；src/data/fcs/printing-task-domain.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents；check-process-order-three-axis-flow,状态三行独立，部分批次提示与下游待收分开,已验证,output/playwright/process-order-review/check-dye-material-receipts.log；output/playwright/process-order-review/check-printing-partial-batches.log；output/playwright/process-order-review/browser-check.json,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
STA-03,用户完整方案第8节,本批完成不冒充整单完成,D/P/V,src/data/fcs/process-order-three-axis-view.ts；src/data/fcs/printing-task-domain.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents；check-process-order-three-axis-flow,状态三行独立，部分批次提示与下游待收分开,已验证,output/playwright/process-order-review/check-dye-material-receipts.log；output/playwright/process-order-review/check-printing-partial-batches.log；output/playwright/process-order-review/browser-check.json,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
STA-04,用户完整方案第8节,下游未收齐不回退本单全部交出,D/P/V,src/data/fcs/process-order-three-axis-view.ts；src/data/fcs/printing-task-domain.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents；check-process-order-three-axis-flow,状态三行独立，部分批次提示与下游待收分开,已验证,output/playwright/process-order-review/check-dye-material-receipts.log；output/playwright/process-order-review/check-printing-partial-batches.log；output/playwright/process-order-review/browser-check.json,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
STA-05,用户完整方案第8节,历史缺失不覆盖已有加工事实,D/P/V,src/data/fcs/process-order-three-axis-view.ts；src/data/fcs/printing-task-domain.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents；check-process-order-three-axis-flow,状态三行独立，部分批次提示与下游待收分开,已验证,output/playwright/process-order-review/check-dye-material-receipts.log；output/playwright/process-order-review/check-printing-partial-batches.log；output/playwright/process-order-review/browser-check.json,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
STA-06,用户完整方案第8节,不拼接三个状态字符串排序,D/P/V,src/data/fcs/process-order-three-axis-view.ts；src/data/fcs/printing-task-domain.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents；check-process-order-three-axis-flow,状态三行独立，部分批次提示与下游待收分开,已验证,output/playwright/process-order-review/check-dye-material-receipts.log；output/playwright/process-order-review/check-printing-partial-batches.log；output/playwright/process-order-review/browser-check.json,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
QTY-01,用户完整方案第9节,已收不冒充实际使用,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/data/fcs/printing-task-domain.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents,列表摘要、详情、CSV数量核对；未知显示待补录/待核验,已验证,output/playwright/process-order-review/export-check.json；output/playwright/process-order-review/check-dye-list-unified.log；output/playwright/process-order-review/check-printing-output-documents.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
QTY-02,用户完整方案第9节,已收减完成不冒充损耗,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/data/fcs/printing-task-domain.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents,列表摘要、详情、CSV数量核对；未知显示待补录/待核验,已验证,output/playwright/process-order-review/export-check.json；output/playwright/process-order-review/check-dye-list-unified.log；output/playwright/process-order-review/check-printing-output-documents.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
QTY-03,用户完整方案第9节,未使用在制待确认差异不计确认损耗,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/data/fcs/printing-task-domain.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents,列表摘要、详情、CSV数量核对；未知显示待补录/待核验,已验证,output/playwright/process-order-review/export-check.json；output/playwright/process-order-review/check-dye-list-unified.log；output/playwright/process-order-review/check-printing-output-documents.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
QTY-04,用户完整方案第9节,未知使用与损耗不构造数字,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/data/fcs/printing-task-domain.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents,列表摘要、详情、CSV数量核对；未知显示待补录/待核验,已验证,output/playwright/process-order-review/export-check.json；output/playwright/process-order-review/check-dye-list-unified.log；output/playwright/process-order-review/check-printing-output-documents.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
QTY-05,用户完整方案第9节,不同单位不混加不相减,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/data/fcs/printing-task-domain.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents,列表摘要、详情、CSV数量核对；未知显示待补录/待核验,已验证,output/playwright/process-order-review/export-check.json；output/playwright/process-order-review/check-dye-list-unified.log；output/playwright/process-order-review/check-printing-output-documents.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
QTY-06,用户完整方案第9节,待收排除已关闭差异撤销退回,D/P/V,src/data/fcs/dye-work-order-online-view.ts；src/data/fcs/printing-task-domain.ts,check-dye-material-receipts；check-printing-partial-batches；check-dye-list-unified；check-printing-output-documents,列表摘要、详情、CSV数量核对；未知显示待补录/待核验,已验证,output/playwright/process-order-review/export-check.json；output/playwright/process-order-review/check-dye-list-unified.log；output/playwright/process-order-review/check-printing-output-documents.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
DYE-01,用户完整方案第10节,染色列表突出工艺真实颜色色号色样,D,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/dyeing/work-order-overlays.ts；src/data/fcs/dye-work-order-online-view.ts,check-dye-list-unified；check-dye-work-order-online-alignment,16条染色缺正式目标色样；部分现存色名为多色描述，需提供各单准确目标颜色/色号与色样关系后验收。,已阻塞,output/playwright/process-order-review/dyeing-1366.png；output/playwright/process-order-review/dyeing-detail.png；output/playwright/process-order-review/check-dye-work-order-online-alignment.log；output/playwright/process-order-review/dye-missing-assets.json；output/playwright/process-order-review/printing-missing-assets.json；output/playwright/process-order-review/printing-actual-material-gaps.json,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
DYE-02,用户完整方案第10节,成分参数批次质量等详情保留,D,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/dyeing/work-order-overlays.ts；src/data/fcs/dye-work-order-online-view.ts,check-dye-list-unified；check-dye-work-order-online-alignment,染色列表/详情及原合并染色菜单保留，缺资料不以空参数占位,已验证,output/playwright/process-order-review/dyeing-1366.png；output/playwright/process-order-review/dyeing-detail.png；output/playwright/process-order-review/check-dye-work-order-online-alignment.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
DYE-03,用户完整方案第10节,无参数不逐行显示空横线,D,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/dyeing/work-order-overlays.ts；src/data/fcs/dye-work-order-online-view.ts,check-dye-list-unified；check-dye-work-order-online-alignment,染色列表/详情及原合并染色菜单保留，缺资料不以空参数占位,已验证,output/playwright/process-order-review/dyeing-1366.png；output/playwright/process-order-review/dyeing-detail.png；output/playwright/process-order-review/check-dye-work-order-online-alignment.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
DYE-04,用户完整方案第10节,色样缺失提示且不伪造色块图片,D,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/dyeing/work-order-overlays.ts；src/data/fcs/dye-work-order-online-view.ts,check-dye-list-unified；check-dye-work-order-online-alignment,染色列表/详情及原合并染色菜单保留，缺资料不以空参数占位,已验证,output/playwright/process-order-review/dyeing-1366.png；output/playwright/process-order-review/dyeing-detail.png；output/playwright/process-order-review/check-dye-work-order-online-alignment.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
DYE-05,用户完整方案第10节,合并染色入口和原单关联保留,D,src/pages/process-factory/dyeing/work-orders.ts；src/pages/process-factory/dyeing/work-order-overlays.ts；src/data/fcs/dye-work-order-online-view.ts,check-dye-list-unified；check-dye-work-order-online-alignment,染色列表/详情及原合并染色菜单保留，缺资料不以空参数占位,已验证,output/playwright/process-order-review/dyeing-1366.png；output/playwright/process-order-review/dyeing-detail.png；output/playwright/process-order-review/check-dye-work-order-online-alignment.log,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
PRINT-01,用户完整方案第11节,工艺单双面及正反花型明确,P,src/pages/process-factory/printing/work-orders.ts；src/pages/process-factory/printing/work-order-detail.ts；src/data/fcs/printing-task-domain.ts,check-printing-two-end-list；check-printing-output-documents；check-printing-legacy-view-projection,印花001—006现存TDV标识并非正式花型编号；002—006样衣图已去除；其他花型参考图仍需核验。正反面功能已实现，正式资料未通过。,已阻塞,output/playwright/process-order-review/printing-detail.png；output/playwright/process-order-review/roll-label.log；output/playwright/process-order-review/check-printing-output-documents.log；output/playwright/process-order-review/dye-missing-assets.json；output/playwright/process-order-review/printing-missing-assets.json；output/playwright/process-order-review/printing-actual-material-gaps.json,用户已确认方案；Codex执行验证；产品接受待用户确认；8d8f8ffd+version-fingerprint.json
