7:## 2026-09-25 验收继续执行
13:| W0 | 上游生产单、运行任务及有效分配按记录迁移，同数据库CAS保护票/交出 | production-context-records.ts、production-orders.ts、runtime-process-tasks.ts、effective-task-assignments.ts、对应保存入口 | 禁用旧存储/中断/冲突/失败/刷新/备份恢复，读写不依赖旧键 |
14:| W1/W4 | 真实分配改派、多任务/面料、角色、自行裁剪边界 | 原来源和交出模块及实际页面 | 正常和阻断场景均重放，不以直接调用代替可见入口 |
15:| W2/W3/W5 | 票/袋/历史/打印各端完整回归 | 已列明页面及PDA/打印入口 | 命名路径、图片、尺寸与异常恢复 |
16:| W6 | 冷启动缺陷和完整交互计时、矩阵闭环 | warehouse-hub.ts及直接读链；浏览器证据与92条矩阵 | 当前同版本证据，保留所有慢样本；每条逐项结论 |
18:## 当前判定
24:| W0 存储和事务 | 实施中 | 生产来源7类、部位票6旧键、裁后管理事件同库记录级事务；关联附件Blob与引用；迁移/CAS/幂等/备份 | 真实入口最终同版回归和存储禁用完整交出验证正在执行 |
25:| W1 范围和身份 | 已实现待验证 | 裁床分配派生初始票；固定 5 Yard；含朴排除；任务 SKU 用料；唯一票/增票/改派失效 | 全部真实改派、并发、资料错误和恢复场景页面证据 |
26:| W2 列表与打印 | 已实现待验证 | 标准列表、图片、选择、新增、首打/补打、部分出纸确认、HPB 标签 | 全部列偏好/多单分页、实物打印 |
27:| W3 混装与重装 | 已实现待验证 | 三类类型及单位、扫码/占用、原子重装/交出 | 全部移出重装、回收、毛织与特殊工艺回归场景 |
28:| W4 交出门禁 | 已实现待验证 | 按任务+工厂的历史与本次并集；缺票阻断；与裁片同次；直接随交 | 所有角色、改派、后续批次、新增需料的实际入口重放 |
29:| W5 各端与历史 | 已实现待验证 | Web/PDA 袋详情、历史快照、货物标签、直接交出工厂接收详情 | 全部页面尺寸/历史周期打印/接收下游核对 |
30:| W6 验证闭环 | 实施中 | 专项、浏览器、性能原始记录；92 条矩阵 | 尚未满足完整验收门禁 |
32:## 实施决策和存储登记
48:## 当前证据索引
70:## 未关闭的问题
78:## 原子需求交付矩阵
84:| SCOPE-001 | 3.1／U15 | 三方自行裁剪任务不进入本流程 | W1 | src/data/fcs/cutting/replacement-fabric-source.ts / resolveReplacementFabricRuntimeTaskContext；src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch | E01；权限和三合一现场边界尚待补齐 | E02、E06；其他权限/排除场景待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
95:| MAT-001 | 5.1／U02 | 清单包含整单实际合格面料 | W1 | src/data/fcs/cutting/replacement-fabric-source.ts / resolveReplacementFabricMaterials | E01 | E03、E05；完整空集合待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
96:| MAT-002 | 5.1／U04 | 任务需料由分配 SKU 推导 | W4 | src/data/fcs/cutting/replacement-fabric-source.ts / resolveReplacementFabricMaterials | E01 | E03、E05；完整空集合待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
97:| MAT-003 | 5.1／D | 相同面料不因部位／尺码重复 | W1 | src/data/fcs/cutting/replacement-fabric-source.ts / resolveReplacementFabricMaterials | E01 | E03、E05；完整空集合待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
98:| MAT-004 | 5.1／D | 同名不同身份材料不得互认 | W1 | src/data/fcs/cutting/replacement-fabric-source.ts / resolveReplacementFabricMaterials | E01 | E03、E05；完整空集合待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
99:| MAT-005 | 5.2／U12、D01 | 按物料名称识别排除朴 | W1 | src/data/fcs/cutting/replacement-fabric-source.ts / resolveReplacementFabricMaterials | E01 | E03、E05；完整空集合待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
100:| MAT-006 | 5.3／D | 资料完整的空集合标为无需换片布 | W1 | src/data/fcs/cutting/replacement-fabric-source.ts / resolveReplacementFabricMaterials | E01 | E03、E05；完整空集合待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
101:| TKT-001 | 6.1／U07 | 每张固定 5 Yard 不可修改 | W1 | src/data/fcs/cutting/replacement-fabric-fei-tickets.ts / createReplacementFabricTickets、confirmReplacementFabricPrint；src/data/fcs/cutting/replacement-fabric-repository.ts | E01、E07 | E07；历史补打待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
102:| TKT-002 | 6.1／D | 无车缝分配时仍可按生产单出票 | W1 | src/data/fcs/cutting/replacement-fabric-fei-tickets.ts / createReplacementFabricTickets、confirmReplacementFabricPrint；src/data/fcs/cutting/replacement-fabric-repository.ts | E01、E07 | E07；历史补打待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
103:| TKT-003 | 6.2／U05、U11 | 同面料能新增多张独立票 | W1 | src/data/fcs/cutting/replacement-fabric-fei-tickets.ts / createReplacementFabricTickets、confirmReplacementFabricPrint；src/data/fcs/cutting/replacement-fabric-repository.ts | E01、E07 | E07；历史补打待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
104:| TKT-004 | 6.2／G | 同一新增请求重试不重复建票 | W1 | src/data/fcs/cutting/replacement-fabric-fei-tickets.ts / createReplacementFabricTickets、confirmReplacementFabricPrint；src/data/fcs/cutting/replacement-fabric-repository.ts | E01、E07 | E07；历史补打待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
105:| TKT-005 | 6.3／U06 | 换片布票号不与任何类型重复 | W1 | src/data/fcs/cutting/replacement-fabric-fei-tickets.ts / createReplacementFabricTickets、confirmReplacementFabricPrint；src/data/fcs/cutting/replacement-fabric-repository.ts | E01、E07 | E07；历史补打待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
106:| TKT-006 | 6.3／U06 | 序号按生产单＋面料递增不重用 | W1 | src/data/fcs/cutting/replacement-fabric-fei-tickets.ts / createReplacementFabricTickets、confirmReplacementFabricPrint；src/data/fcs/cutting/replacement-fabric-repository.ts | E01、E07 | E07；历史补打待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
107:| TKT-007 | 6.4／U11 | 补打保持原身份和数量 | W2 | src/data/fcs/cutting/replacement-fabric-fei-tickets.ts / createReplacementFabricTickets、confirmReplacementFabricPrint；src/data/fcs/cutting/replacement-fabric-repository.ts | E01、E07 | E07；历史补打待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
108:| TKT-008 | 6.4／D | 已交出票补打不恢复交出资格 | W2 | src/data/fcs/cutting/replacement-fabric-fei-tickets.ts / createReplacementFabricTickets、confirmReplacementFabricPrint；src/data/fcs/cutting/replacement-fabric-repository.ts | E01、E07 | E07；历史补打待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
109:| PAGE-001 | 7.1／U01 | 菜单位于捆条菲票打印之后 | W2 | src/pages/process-factory/cutting/replacement-fabric-fei-tickets.ts / renderReplacementFabricFeiTicketsPage、handleReplacementFabricEvent；src/data/app-shell-config.ts；src/router/routes-fcs.ts | E05、E07；列表专项治理 | E05、E07、E14；冻结/重排已测，整体门禁仍未闭环 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
110:| PAGE-002 | 7.1／U02 | 面料单元格一行一种面料 | W2 | src/pages/process-factory/cutting/replacement-fabric-fei-tickets.ts / renderReplacementFabricFeiTicketsPage、handleReplacementFabricEvent；src/data/app-shell-config.ts；src/router/routes-fcs.ts | E05、E07；列表专项治理 | E05、E07、E14；冻结/重排已测，整体门禁仍未闭环 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
111:| PAGE-003 | 7.1／G | 查询同时刷新列表统计与条数 | W2 | src/pages/process-factory/cutting/replacement-fabric-fei-tickets.ts / renderReplacementFabricFeiTicketsPage、handleReplacementFabricEvent；src/data/app-shell-config.ts；src/router/routes-fcs.ts | E05、E07；列表专项治理 | E05、E07、E14；冻结/重排已测，整体门禁仍未闭环 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
112:| PAGE-004 | 7.1／G | 重置清空全部条件 | W2 | src/pages/process-factory/cutting/replacement-fabric-fei-tickets.ts / renderReplacementFabricFeiTicketsPage、handleReplacementFabricEvent；src/data/app-shell-config.ts；src/router/routes-fcs.ts | E05、E07；列表专项治理 | E05、E07、E14；冻结/重排已测，整体门禁仍未闭环 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
113:| PAGE-005 | 7.1／G | 导出全量匹配且无操作列 | W2 | src/pages/process-factory/cutting/replacement-fabric-fei-tickets.ts / renderReplacementFabricFeiTicketsPage、handleReplacementFabricEvent；src/data/app-shell-config.ts；src/router/routes-fcs.ts | E05、E07；列表专项治理 | E05、E07、E14；冻结/重排已测，整体门禁仍未闭环 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
114:| PAGE-006 | 7.1／G | 标准列表分页及列设置可用 | W2 | src/pages/process-factory/cutting/replacement-fabric-fei-tickets.ts / renderReplacementFabricFeiTicketsPage、handleReplacementFabricEvent；src/data/app-shell-config.ts；src/router/routes-fcs.ts | E05、E07；列表专项治理 | E05、E07、E14；冻结/重排已测，整体门禁仍未闭环 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
115:| PAGE-007 | 7.1／D | 打印汇总准确表达部分已打印 | W2 | src/pages/process-factory/cutting/replacement-fabric-fei-tickets.ts / renderReplacementFabricFeiTicketsPage、handleReplacementFabricEvent；src/data/app-shell-config.ts；src/router/routes-fcs.ts | E05、E07；列表专项治理 | E05、E07、E14；冻结/重排已测，整体门禁仍未闭环 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
116:| PAGE-008 | 7.2／U03 | 整单打印覆盖全部有效票 | W2 | src/pages/process-factory/cutting/replacement-fabric-fei-tickets.ts / renderReplacementFabricFeiTicketsPage、handleReplacementFabricEvent；src/data/app-shell-config.ts；src/router/routes-fcs.ts | E05、E07；列表专项治理 | E05、E07、E14；冻结/重排已测，整体门禁仍未闭环 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
117:| PAGE-009 | 7.2／U03 | 单票及跨页多票选择准确 | W2 | src/pages/process-factory/cutting/replacement-fabric-fei-tickets.ts / renderReplacementFabricFeiTicketsPage、handleReplacementFabricEvent；src/data/app-shell-config.ts；src/router/routes-fcs.ts | E05、E07；列表专项治理 | E05、E07、E14；冻结/重排已测，整体门禁仍未闭环 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
118:| PAGE-010 | 7.3／G | 缺项及失败给出可行动提示 | W2 | src/pages/process-factory/cutting/replacement-fabric-fei-tickets.ts / renderReplacementFabricFeiTicketsPage、handleReplacementFabricEvent；src/data/app-shell-config.ts；src/router/routes-fcs.ts | E05、E07；列表专项治理 | E05、E07、E14；冻结/重排已测，整体门禁仍未闭环 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
119:| PRINT-001 | 8.1／U06 | 票面清楚识别单、料、第几张 | W2 | src/pages/print/replacement-fabric-preview.ts / handleReplacementFabricPrintEvent；src/pages/print/templates/replacement-fabric-label-template.ts | E07；长字段/PDF/扫码见 E08 | E07、E08；实物出纸未验收 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
120:| PRINT-002 | 8.1／U06 | 黑白票面能区分三种菲票 | W2 | src/pages/print/replacement-fabric-preview.ts / handleReplacementFabricPrintEvent；src/pages/print/templates/replacement-fabric-label-template.ts | E07；长字段/PDF/扫码见 E08 | E07、E08；实物出纸未验收 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
121:| PRINT-003 | 8.1／U06 | 扫码指向唯一换片布票 | W2 | src/pages/print/replacement-fabric-preview.ts / handleReplacementFabricPrintEvent；src/pages/print/templates/replacement-fabric-label-template.ts | E07；长字段/PDF/扫码见 E08 | E07、E08；实物出纸未验收 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
122:| PRINT-004 | 8.2／D03 | 取消预览／未完成不误标已打印 | W2 | src/pages/print/replacement-fabric-preview.ts / handleReplacementFabricPrintEvent；src/pages/print/templates/replacement-fabric-label-template.ts | E07；长字段/PDF/扫码见 E08 | E07、E08；实物出纸未验收 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
123:| PRINT-005 | 8.2／D03 | 部分出纸仅确认成功票 | W2 | src/pages/print/replacement-fabric-preview.ts / handleReplacementFabricPrintEvent；src/pages/print/templates/replacement-fabric-label-template.ts | E07；长字段/PDF/扫码见 E08 | E07、E08；实物出纸未验收 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
124:| BAG-001 | 9.1／U08 | 换片布可扫码装入现有袋 | W3 | src/data/fcs/cutting/mixed-transfer-bag-ticket.ts；src/data/fcs/cutting/transfer-bag-operations.ts；src/pages/pda-cutting-inbound.ts；src/pages/process-factory/cutting/transfer-bags/detail.ts；src/pages/pda-transfer-bag-detail.ts | E02、E03、E04；重装回收专项 | E03；三类详情已见，全部重装/回收页面待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
125:| BAG-002 | 9.1／G | 同票重复扫描不增加数量 | W3 | src/data/fcs/cutting/mixed-transfer-bag-ticket.ts；src/data/fcs/cutting/transfer-bag-operations.ts；src/pages/pda-cutting-inbound.ts；src/pages/process-factory/cutting/transfer-bags/detail.ts；src/pages/pda-transfer-bag-detail.ts | E02、E03、E04；重装回收专项 | E03；三类详情已见，全部重装/回收页面待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
126:| BAG-003 | 9.1／G | 同票不能同时占用两只有效袋 | W3 | src/data/fcs/cutting/mixed-transfer-bag-ticket.ts；src/data/fcs/cutting/transfer-bag-operations.ts；src/pages/pda-cutting-inbound.ts；src/pages/process-factory/cutting/transfer-bags/detail.ts；src/pages/pda-transfer-bag-detail.ts | E02、E03、E04；重装回收专项 | E03；三类详情已见，全部重装/回收页面待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
127:| BAG-004 | 9.1／D | 三类混装不放开跨生产单 | W3 | src/data/fcs/cutting/mixed-transfer-bag-ticket.ts；src/data/fcs/cutting/transfer-bag-operations.ts；src/pages/pda-cutting-inbound.ts；src/pages/process-factory/cutting/transfer-bags/detail.ts；src/pages/pda-transfer-bag-detail.ts | E02、E03、E04；重装回收专项 | E03；三类详情已见，全部重装/回收页面待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
128:| BAG-005 | 9.2／U08 | 袋详情同时展示三类货物 | W5 | src/data/fcs/cutting/mixed-transfer-bag-ticket.ts；src/data/fcs/cutting/transfer-bag-operations.ts；src/pages/pda-cutting-inbound.ts；src/pages/process-factory/cutting/transfer-bags/detail.ts；src/pages/pda-transfer-bag-detail.ts | E02、E03、E04；重装回收专项 | E03；三类详情已见，全部重装/回收页面待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
129:| BAG-006 | 9.2／U07、G | 混装数量按类型单位分别汇总 | W3 | src/data/fcs/cutting/mixed-transfer-bag-ticket.ts；src/data/fcs/cutting/transfer-bag-operations.ts；src/pages/pda-cutting-inbound.ts；src/pages/process-factory/cutting/transfer-bags/detail.ts；src/pages/pda-transfer-bag-detail.ts | E02、E03、E04；重装回收专项 | E03；三类详情已见，全部重装/回收页面待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
130:| BAG-007 | 9.3／D | 移出／重装保持票身份数量守恒 | W3 | src/data/fcs/cutting/mixed-transfer-bag-ticket.ts；src/data/fcs/cutting/transfer-bag-operations.ts；src/pages/pda-cutting-inbound.ts；src/pages/process-factory/cutting/transfer-bags/detail.ts；src/pages/pda-transfer-bag-detail.ts | E02、E03、E04；重装回收专项 | E03；三类详情已见，全部重装/回收页面待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
131:| BAG-008 | 9.3／D | 换片布票不支持拆分长度 | W3 | src/data/fcs/cutting/mixed-transfer-bag-ticket.ts；src/data/fcs/cutting/transfer-bag-operations.ts；src/pages/pda-cutting-inbound.ts；src/pages/process-factory/cutting/transfer-bags/detail.ts；src/pages/pda-transfer-bag-detail.ts | E02、E03、E04；重装回收专项 | E03；三类详情已见，全部重装/回收页面待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
132:| BAG-009 | 9.3／D | 回收袋不恢复旧票交出资格 | W3 | src/data/fcs/cutting/mixed-transfer-bag-ticket.ts；src/data/fcs/cutting/transfer-bag-operations.ts；src/pages/pda-cutting-inbound.ts；src/pages/process-factory/cutting/transfer-bags/detail.ts；src/pages/pda-transfer-bag-detail.ts | E02、E03、E04；重装回收专项 | E03；三类详情已见，全部重装/回收页面待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
133:| BAG-010 | 9.4／D | 货物标识和清单包含新增类型 | W5 | src/data/fcs/cutting/mixed-transfer-bag-ticket.ts；src/data/fcs/cutting/transfer-bag-operations.ts；src/pages/pda-cutting-inbound.ts；src/pages/process-factory/cutting/transfer-bags/detail.ts；src/pages/pda-transfer-bag-detail.ts | E02、E03、E04；重装回收专项 | E03；三类详情已见，全部重装/回收页面待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
134:| BAG-011 | 9.4／D | 历史打印读取原周期快照 | W5 | src/data/fcs/cutting/mixed-transfer-bag-ticket.ts；src/data/fcs/cutting/transfer-bag-operations.ts；src/pages/pda-cutting-inbound.ts；src/pages/process-factory/cutting/transfer-bags/detail.ts；src/pages/pda-transfer-bag-detail.ts | E02、E03、E04；重装回收专项 | E03；三类详情已见，全部重装/回收页面待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
135:| HAND-001 | 10.1／U04 | 历史已交与本次随交共同满足需料 | W4 | src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch；src/data/fcs/cutting/simple-cut-piece-handover.ts / confirmSimpleCutPieceHandover；src/pages/process-factory/cutting/wait-handover-runtime.ts | E01、E02、E06 | E02、E06；其余全任务边界待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
136:| HAND-002 | 10.1／U04 | 任一需料缺失阻断本次确认 | W4 | src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch；src/data/fcs/cutting/simple-cut-piece-handover.ts / confirmSimpleCutPieceHandover；src/pages/process-factory/cutting/wait-handover-runtime.ts | E01、E02、E06 | E02、E06；其余全任务边界待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
137:| HAND-003 | 10.1／U05 | 不同任务不能共用同一已交票 | W4 | src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch；src/data/fcs/cutting/simple-cut-piece-handover.ts / confirmSimpleCutPieceHandover；src/pages/process-factory/cutting/wait-handover-runtime.ts | E01、E02、E06 | E02、E06；其余全任务边界待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
138:| HAND-004 | 10.2／D | 多袋同次检查并集且顺序无关 | W4 | src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch；src/data/fcs/cutting/simple-cut-piece-handover.ts / confirmSimpleCutPieceHandover；src/pages/process-factory/cutting/wait-handover-runtime.ts | E01、E02、E06 | E02、E06；其余全任务边界待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
139:| HAND-005 | 10.2／D | 未选入本次的袋不能满足缺项 | W4 | src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch；src/data/fcs/cutting/simple-cut-piece-handover.ts / confirmSimpleCutPieceHandover；src/pages/process-factory/cutting/wait-handover-runtime.ts | E01、E02、E06 | E02、E06；其余全任务边界待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
140:| HAND-006 | 10.2／U14、G | 裁片与换片布同次成功或失败 | W4 | src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch；src/data/fcs/cutting/simple-cut-piece-handover.ts / confirmSimpleCutPieceHandover；src/pages/process-factory/cutting/wait-handover-runtime.ts | E01、E02、E06 | E02、E06；其余全任务边界待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
141:| HAND-007 | 10.2／G | 重试确认不重复交出 | W4 | src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch；src/data/fcs/cutting/simple-cut-piece-handover.ts / confirmSimpleCutPieceHandover；src/pages/process-factory/cutting/wait-handover-runtime.ts | E01、E02、E06 | E02、E06；其余全任务边界待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
142:| HAND-008 | 10.3／U14 | 简易交出支持不经袋直接随交 | W4 | src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch；src/data/fcs/cutting/simple-cut-piece-handover.ts / confirmSimpleCutPieceHandover；src/pages/process-factory/cutting/wait-handover-runtime.ts | E01、E02、E06 | E02、E06；其余全任务边界待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
143:| HAND-009 | 10.3／G | 直接交出不取用已装袋票 | W4 | src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch；src/data/fcs/cutting/simple-cut-piece-handover.ts / confirmSimpleCutPieceHandover；src/pages/process-factory/cutting/wait-handover-runtime.ts | E01、E02、E06 | E02、E06；其余全任务边界待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
144:| HAND-010 | 10.4／U13 | 同任务后续批次不重复要求已交面料 | W4 | src/data/fcs/cutting/replacement-fabric-event-validation.ts / validateReplacementFabricEventBatch；src/data/fcs/cutting/simple-cut-piece-handover.ts / confirmSimpleCutPieceHandover；src/pages/process-factory/cutting/wait-handover-runtime.ts | E01、E02、E06 | E02、E06；其余全任务边界待补 | 已实现待验证 | 产品待验收 / aac68249+任务差异 |
