需求编号,来源文档和章节,原子需求,对应实施工作包,实现文件或符号,自动化验证,页面PDA打印或性能验证,当前状态,证据链接或位置,产品确认人,确认版本
TIME-004,product-design.md 第07节,来源日期精度不足时标明精度而不编造时分秒,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、config-model.ts、scenarios.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：自然日/时区/一秒超时/零能力；tests/unit/production-fulfillment-configuration.test.ts：组跨度/发布保留基线；tests/unit/production-fulfillment-boundary-evidence.test.ts：仅日期,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本/工作抽屉；004未知路线；规则与配置；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md；tests/unit/production-fulfillment-boundary-evidence.test.ts；001计算与版本独立边界卡,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
TIME-005,product-design.md 第07节,组上限不在子项预算之外重复相加,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、config-model.ts、scenarios.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：自然日/时区/一秒超时/零能力；tests/unit/production-fulfillment-configuration.test.ts：组跨度/发布保留基线；tests/unit/production-fulfillment-boundary-evidence.test.ts：仅日期,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本/工作抽屉；004未知路线；规则与配置；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
TIME-006,product-design.md 第07节,里程碑及相对期限不当成加工持续时间,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、config-model.ts、scenarios.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：自然日/时区/一秒超时/零能力；tests/unit/production-fulfillment-configuration.test.ts：组跨度/发布保留基线；tests/unit/production-fulfillment-boundary-evidence.test.ts：仅日期,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本/工作抽屉；004未知路线；规则与配置；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
TIME-007,product-design.md 第07节,组代理内部缺预算明确可见并禁止子团队假考核,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、config-model.ts、scenarios.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：自然日/时区/一秒超时/零能力；tests/unit/production-fulfillment-configuration.test.ts：组跨度/发布保留基线；tests/unit/production-fulfillment-boundary-evidence.test.ts：仅日期,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本/工作抽屉；004未知路线；规则与配置；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
TIME-008,product-design.md 第07节,组代理替换为子网络时两者不同时计时,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、config-model.ts、scenarios.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：自然日/时区/一秒超时/零能力；tests/unit/production-fulfillment-configuration.test.ts：组跨度/发布保留基线；tests/unit/production-fulfillment-boundary-evidence.test.ts：仅日期,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本/工作抽屉；004未知路线；规则与配置；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
TIME-009,product-design.md 第07节,会议候选值及旧图数值不冒充已发布正式规则,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、config-model.ts、scenarios.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：自然日/时区/一秒超时/零能力；tests/unit/production-fulfillment-configuration.test.ts：组跨度/发布保留基线；tests/unit/production-fulfillment-boundary-evidence.test.ts：仅日期,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本/工作抽屉；004未知路线；规则与配置；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
TIME-010,product-design.md 第07节,近7日90%回货平均耗时不解释为统一7天SLA,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、config-model.ts、scenarios.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：自然日/时区/一秒超时/零能力；tests/unit/production-fulfillment-configuration.test.ts：组跨度/发布保留基线；tests/unit/production-fulfillment-boundary-evidence.test.ts：仅日期,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本/工作抽屉；004未知路线；规则与配置；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
TIME-011,product-design.md 第07节,原始基线当前标准生效截止预测实际五类时间分开,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、config-model.ts、scenarios.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：自然日/时区/一秒超时/零能力；tests/unit/production-fulfillment-configuration.test.ts：组跨度/发布保留基线；tests/unit/production-fulfillment-boundary-evidence.test.ts：仅日期,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本/工作抽屉；004未知路线；规则与配置；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
TIME-012,product-design.md 第07节,预测推迟不能自动延长当前考核截止,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、config-model.ts、scenarios.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：自然日/时区/一秒超时/零能力；tests/unit/production-fulfillment-configuration.test.ts：组跨度/发布保留基线；tests/unit/production-fulfillment-boundary-evidence.test.ts：仅日期,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本/工作抽屉；004未知路线；规则与配置；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
TIME-013,product-design.md 第07节,未知路线只按合法场景计算区间，无上界时明确未知,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、config-model.ts、scenarios.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：自然日/时区/一秒超时/零能力；tests/unit/production-fulfillment-configuration.test.ts：组跨度/发布保留基线；tests/unit/production-fulfillment-boundary-evidence.test.ts：仅日期,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本/工作抽屉；004未知路线；规则与配置；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
TIME-014,product-design.md 第07节,晚确认路线保留原始T0并记录变更版本,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、config-model.ts、scenarios.ts、boundary-evidence.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：自然日/时区/一秒超时/零能力；tests/unit/production-fulfillment-configuration.test.ts：组跨度/发布保留基线；tests/unit/production-fulfillment-boundary-evidence.test.ts：仅日期,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001计算与版本/工作抽屉；004未知路线；规则与配置；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
CALC-001,product-design.md 第08节,依赖网络串行相加并行汇合取最大值,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、scenarios.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：24天/ID23天/批次19.5、21.5、22/网络防环/共享资源；scripts/check-dds-production-fulfillment.mjs：路线收敛,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001完整公式/批次算例；004有界无界模拟；gantt-1366.png；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
CALC-002,product-design.md 第08节,计算显示动作预算前置事件及交接间隔,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、scenarios.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：24天/ID23天/批次19.5、21.5、22/网络防环/共享资源；scripts/check-dds-production-fulfillment.mjs：路线收敛,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001完整公式/批次算例；004有界无界模拟；gantt-1366.png；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
CALC-003,product-design.md 第08节,循环依赖被拒绝而不是静默给出时效,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、scenarios.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：24天/ID23天/批次19.5、21.5、22/网络防环/共享资源；scripts/check-dds-production-fulfillment.mjs：路线收敛,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001完整公式/批次算例；004有界无界模拟；gantt-1366.png；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
CALC-004,product-design.md 第08节,共享资源占用形成有效先后约束,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、scenarios.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：24天/ID23天/批次19.5、21.5、22/网络防环/共享资源；scripts/check-dds-production-fulfillment.mjs：路线收敛,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。V3 来源与界面已变更；旧验收不继承，当前完整浏览器已有1050样本，但加载失败、图片及完整准备关联等边界证据未齐。 历史范围（不可继承）：001完整公式/批次算例；004有界无界模拟；gantt-1366.png；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
CALC-005,product-design.md 第08节；V3仅保留为历史规则示例（product-design.md 第17/20.2节）,完整主例计算结果为24自然日,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、scenarios.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。本条具体数字仅属于V1/V2独立规则示例；不作为V3 33条来源需求的业务数量/时效/角色或订单结果。示例若继续展示仍需当前版本验证。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：24天/ID23天/批次19.5、21.5、22/网络防环/共享资源；scripts/check-dds-production-fulfillment.mjs：路线收敛,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。本条具体数字仅属于V1/V2独立规则示例；不作为V3 33条来源需求的业务数量/时效/角色或订单结果。示例若继续展示仍需当前版本验证。 历史范围（不可继承）：001完整公式/批次算例；004有界无界模拟；gantt-1366.png；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
CALC-006,product-design.md 第08节；V3仅保留为历史规则示例（product-design.md 第17/20.2节）,中国辅料15天明确包含入库后调拨至工厂实收,WP02,src/pages/production-fulfillment/calculations.ts、task-detail.ts、scenarios.ts,V3当前：专项66项测试通过（整组结果，逐条当前断言需绑定）；范围类型0错、外部61项既有错，Vite构建通过。本条具体数字仅属于V1/V2独立规则示例；不作为V3 33条来源需求的业务数量/时效/角色或订单结果。示例若继续展示仍需当前版本验证。 历史验证说明（非V3证明）：tests/unit/production-fulfillment-calculations.test.ts：24天/ID23天/批次19.5、21.5、22/网络防环/共享资源；scripts/check-dds-production-fulfillment.mjs：路线收敛,V3：七菜单/详情部分功能检查通过，最终浏览器1050样本检查已完成，但加载失败且其他边界缺证；冷加载/刷新最大429ms/364.099999994ms不通过，目标物料照片未逐一覆盖。本条具体数字仅属于V1/V2独立规则示例；不作为V3 33条来源需求的业务数量/时效/角色或订单结果。示例若继续展示仍需当前版本验证。 历史范围（不可继承）：001完整公式/批次算例；004有界无界模拟；gantt-1366.png；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已实现待验证,V3范围/缺口：source-alignment-v3.md；product-design.md 第20.2节；当前目标报告：output/playwright/dds-pf-v3/verification.json（最终1050样本，加载失败，整体不通过）；历史证据（仅原版本）：implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已确认V3业务与界面修正；当前产品接受未发生；Codex仍在实现/验证,V3.0当前工作树；基础HEAD4804328a；未完成性能/图片门禁；历史已验证仅属原证据版本
