需求编号,来源文档和章节,原子需求,对应实施工作包,实现文件或符号,自动化验证,页面PDA打印或性能验证,当前状态,证据链接或位置,产品确认人,确认版本
OBJECT-002,product-design.md 第03节,生产任务T0保留商品采购及需求下单源头,WP02,src/pages/production-fulfillment/model.ts、fixtures.ts、mock-data.json、calculations.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：共享实例/独立T0/容量；tests/unit/production-fulfillment-boundary-evidence.test.ts：REUSE/SHIPMENT-IDENTITY,005/006合并生产单来源；001计算与版本；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
OBJECT-003,product-design.md 第03节,合并生产单保留每个来源需求的T0和数量,WP02,src/pages/production-fulfillment/model.ts、fixtures.ts、mock-data.json、calculations.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：共享实例/独立T0/容量；tests/unit/production-fulfillment-boundary-evidence.test.ts：REUSE/SHIPMENT-IDENTITY,005/006合并生产单来源；001计算与版本；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
OBJECT-004,product-design.md 第03节,合并生产单明确唯一主跟单及来源跟单,WP02,src/pages/production-fulfillment/model.ts、fixtures.ts、mock-data.json、calculations.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：共享实例/独立T0/容量；tests/unit/production-fulfillment-boundary-evidence.test.ts：REUSE/SHIPMENT-IDENTITY,005/006合并生产单来源；001计算与版本；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
OBJECT-005,product-design.md 第03节,准备单复用显示技术版本和复用依据,WP02,src/pages/production-fulfillment/model.ts、fixtures.ts、mock-data.json、calculations.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：共享实例/独立T0/容量；tests/unit/production-fulfillment-boundary-evidence.test.ts：REUSE/SHIPMENT-IDENTITY,005/006合并生产单来源；001计算与版本；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md；tests/unit/production-fulfillment-boundary-evidence.test.ts；001计算与版本独立边界卡,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
OBJECT-006,product-design.md 第03节,共享工作全局按实例ID去重,WP02,src/pages/production-fulfillment/model.ts、fixtures.ts、mock-data.json、calculations.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：共享实例/独立T0/容量；tests/unit/production-fulfillment-boundary-evidence.test.ts：REUSE/SHIPMENT-IDENTITY,005/006合并生产单来源；001计算与版本；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
OBJECT-007,product-design.md 第03节,共享产出与能力按任务分配不重复占用,WP02,src/pages/production-fulfillment/model.ts、fixtures.ts、mock-data.json、calculations.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：共享实例/独立T0/容量；tests/unit/production-fulfillment-boundary-evidence.test.ts：REUSE/SHIPMENT-IDENTITY,005/006合并生产单来源；001计算与版本；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
OBJECT-008,product-design.md 第03节,实发来源不明时不按SPU自动扣减生产任务数量,WP02,src/pages/production-fulfillment/model.ts、fixtures.ts、mock-data.json、calculations.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：共享实例/独立T0/容量；tests/unit/production-fulfillment-boundary-evidence.test.ts：REUSE/SHIPMENT-IDENTITY,005/006合并生产单来源；001计算与版本；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md；tests/unit/production-fulfillment-boundary-evidence.test.ts；001计算与版本独立边界卡,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
FLOW-001,product-design.md 第04节,9阶段是展示分类而非固定串行依赖,WP02,src/pages/production-fulfillment/fixtures.ts、timeline.ts、scenarios.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：31项sum/max网络；tests/unit/production-fulfillment-boundary-evidence.test.ts：返工新增轮次；scripts/check-dds-production-fulfillment.mjs：未知路线收敛,001九阶段/组内动作；004路线模拟；REWORK独立算例；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
FLOW-002,product-design.md 第04节,适用工作按物料工艺批次实例化，数量动态计算,WP02,src/pages/production-fulfillment/fixtures.ts、timeline.ts、scenarios.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：31项sum/max网络；tests/unit/production-fulfillment-boundary-evidence.test.ts：返工新增轮次；scripts/check-dds-production-fulfillment.mjs：未知路线收敛,001九阶段/组内动作；004路线模拟；REWORK独立算例；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
FLOW-003,product-design.md 第04节,待判断与不适用明确区分并保留判定依据,WP02,src/pages/production-fulfillment/fixtures.ts、timeline.ts、scenarios.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：31项sum/max网络；tests/unit/production-fulfillment-boundary-evidence.test.ts：返工新增轮次；scripts/check-dds-production-fulfillment.mjs：未知路线收敛,001九阶段/组内动作；004路线模拟；REWORK独立算例；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
FLOW-004,product-design.md 第04节,任务显示计时项与组内动作等不同展开层级计数,WP02,src/pages/production-fulfillment/fixtures.ts、timeline.ts、scenarios.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：31项sum/max网络；tests/unit/production-fulfillment-boundary-evidence.test.ts：返工新增轮次；scripts/check-dds-production-fulfillment.mjs：未知路线收敛,001九阶段/组内动作；004路线模拟；REWORK独立算例；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
FLOW-005,product-design.md 第04节,补采补裁返工在发生位置追加有轮次的工作实例,WP02,src/pages/production-fulfillment/fixtures.ts、timeline.ts、scenarios.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：31项sum/max网络；tests/unit/production-fulfillment-boundary-evidence.test.ts：返工新增轮次；scripts/check-dds-production-fulfillment.mjs：未知路线收敛,001九阶段/组内动作；004路线模拟；REWORK独立算例；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md；tests/unit/production-fulfillment-boundary-evidence.test.ts；001计算与版本独立边界卡,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
STATE-001,product-design.md 第05节,前置及数量门槛满足后工作才进入可执行,WP02,src/pages/production-fulfillment/calculations.ts、model.ts、fixtures.ts,tests/unit/production-fulfillment-calculations.test.ts：完成停表/迟到/批次/订单只源于实发,工作抽屉数量、状态、前置和责任起算；实际发货与订单；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
STATE-002,product-design.md 第05节,业务状态与时效状态独立，完成仍可显示历史逾期,WP02,src/pages/production-fulfillment/calculations.ts、model.ts、fixtures.ts,tests/unit/production-fulfillment-calculations.test.ts：完成停表/迟到/批次/订单只源于实发,工作抽屉数量、状态、前置和责任起算；实际发货与订单；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
STATE-003,product-design.md 第05节,数据完整性与业务状态独立显示,WP02,src/pages/production-fulfillment/calculations.ts、model.ts、fixtures.ts,tests/unit/production-fulfillment-calculations.test.ts：完成停表/迟到/批次/订单只源于实发,工作抽屉数量、状态、前置和责任起算；实际发货与订单；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
STATE-004,product-design.md 第05节,受阻和催办不暂停自然日时钟,WP02,src/pages/production-fulfillment/calculations.ts、model.ts、fixtures.ts,tests/unit/production-fulfillment-calculations.test.ts：完成停表/迟到/批次/订单只源于实发,工作抽屉数量、状态、前置和责任起算；实际发货与订单；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
STATE-005,product-design.md 第05节,部分完成按有效数量产生下游释放事实,WP02,src/pages/production-fulfillment/calculations.ts、model.ts、fixtures.ts,tests/unit/production-fulfillment-calculations.test.ts：完成停表/迟到/批次/订单只源于实发,工作抽屉数量、状态、前置和责任起算；实际发货与订单；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
STATE-006,product-design.md 第05节,生产前不得产生本任务确定客户订单集合,WP02,src/pages/production-fulfillment/calculations.ts、model.ts、fixtures.ts,tests/unit/production-fulfillment-calculations.test.ts：完成停表/迟到/批次/订单只源于实发,工作抽屉数量、状态、前置和责任起算；实际发货与订单；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
STATE-007,product-design.md 第05节,订单关联只从有效实际发货事实形成,WP02,src/pages/production-fulfillment/calculations.ts、model.ts、fixtures.ts,tests/unit/production-fulfillment-calculations.test.ts：完成停表/迟到/批次/订单只源于实发,工作抽屉数量、状态、前置和责任起算；实际发货与订单；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
MATERIAL-001,product-design.md 第06节,物料需求按有效成衣量及BOM单耗损耗计算,WP02,src/pages/production-fulfillment/calculations.ts、evidence.ts、fixtures.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：供给缺口/现货调拨/原料目标；tests/unit/production-fulfillment-configuration.test.ts：工厂实收及单位门槛；tests/unit/production-fulfillment-boundary-evidence.test.ts：BOM/返工,002纯库存；003入库未到厂；006分批供给/纠错；BOM独立算例；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md；tests/unit/production-fulfillment-boundary-evidence.test.ts；001计算与版本独立边界卡,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
MATERIAL-002,product-design.md 第06节,不同物料单位须经确认换算后比较,WP02,src/pages/production-fulfillment/calculations.ts、evidence.ts、fixtures.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：供给缺口/现货调拨/原料目标；tests/unit/production-fulfillment-configuration.test.ts：工厂实收及单位门槛；tests/unit/production-fulfillment-boundary-evidence.test.ts：BOM/返工,002纯库存；003入库未到厂；006分批供给/纠错；BOM独立算例；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md；tests/unit/production-fulfillment-boundary-evidence.test.ts；001计算与版本独立边界卡,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
MATERIAL-003,product-design.md 第06节,新增采购缺口扣除已分配合格现货及已落实供给,WP02,src/pages/production-fulfillment/calculations.ts、evidence.ts、fixtures.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：供给缺口/现货调拨/原料目标；tests/unit/production-fulfillment-configuration.test.ts：工厂实收及单位门槛；tests/unit/production-fulfillment-boundary-evidence.test.ts：BOM/返工,002纯库存；003入库未到厂；006分批供给/纠错；BOM独立算例；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
MATERIAL-004,product-design.md 第06节,已落实在途供给不重复作为新增采购缺口,WP02,src/pages/production-fulfillment/calculations.ts、evidence.ts、fixtures.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：供给缺口/现货调拨/原料目标；tests/unit/production-fulfillment-configuration.test.ts：工厂实收及单位门槛；tests/unit/production-fulfillment-boundary-evidence.test.ts：BOM/返工,002纯库存；003入库未到厂；006分批供给/纠错；BOM独立算例；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
MATERIAL-005,product-design.md 第06节,库存足够时仍生成调拨到厂工作,WP02,src/pages/production-fulfillment/calculations.ts、evidence.ts、fixtures.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：供给缺口/现货调拨/原料目标；tests/unit/production-fulfillment-configuration.test.ts：工厂实收及单位门槛；tests/unit/production-fulfillment-boundary-evidence.test.ts：BOM/返工,002纯库存；003入库未到厂；006分批供给/纠错；BOM独立算例；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
MATERIAL-006,product-design.md 第06节,采购入库后继续跟踪调拨安排等待出库运输及实收,WP02,src/pages/production-fulfillment/calculations.ts、evidence.ts、fixtures.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：供给缺口/现货调拨/原料目标；tests/unit/production-fulfillment-configuration.test.ts：工厂实收及单位门槛；tests/unit/production-fulfillment-boundary-evidence.test.ts：BOM/返工,002纯库存；003入库未到厂；006分批供给/纠错；BOM独立算例；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
MATERIAL-007,product-design.md 第06节,同地区现货采购与委托制作命中不同路线,WP02,src/pages/production-fulfillment/calculations.ts、evidence.ts、fixtures.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：供给缺口/现货调拨/原料目标；tests/unit/production-fulfillment-configuration.test.ts：工厂实收及单位门槛；tests/unit/production-fulfillment-boundary-evidence.test.ts：BOM/返工,002纯库存；003入库未到厂；006分批供给/纠错；BOM独立算例；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
MATERIAL-008,product-design.md 第06节,加工原料到货不能完成目标SKU齐套,WP02,src/pages/production-fulfillment/calculations.ts、evidence.ts、fixtures.ts、boundary-evidence.ts,tests/unit/production-fulfillment-calculations.test.ts：供给缺口/现货调拨/原料目标；tests/unit/production-fulfillment-configuration.test.ts：工厂实收及单位门槛；tests/unit/production-fulfillment-boundary-evidence.test.ts：BOM/返工,002纯库存；003入库未到厂；006分批供给/纠错；BOM独立算例；无新增PDA执行或现场标签打印（沿用来源系统）；DDS报表打印另验。,已验证,implementation-evidence/verification.json；implementation-evidence/build.log；implementation-evidence/build-manifest.json；implementation-review.md,用户已指示按方案执行；Codex完成原型验证；产品接受待用户查看,V1.0本地Mock；4804328a工作树内容哈希见build-manifest.json；浏览器证据2026-09-17T13:25:12.321Z
