源文档,原始行号,所属章节,行意图,对应需求ID或背景,审阅结论,问题ID,原文,审阅范围,源快照SHA256
product-design.md,18,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：├─ 物料监控与决策（现有）,SCOPE-001/002/003/004；STATE-006/007；MATERIAL-005/006,条文成立；本次仅确认设计语义，当前实现需另核对,,   ├─ 物料监控与决策（现有）,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,19,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：└─ 生产与履约时效（新增）,SCOPE-001/002/003/004；STATE-006/007；MATERIAL-005/006,条文成立；本次仅确认设计语义，当前实现需另核对,,   └─ 生产与履约时效（新增）,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,20,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：├─ 时效总览,SCOPE-001/002/003/004；STATE-006/007；MATERIAL-005/006,条文成立；本次仅确认设计语义，当前实现需另核对,,      ├─ 时效总览,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,21,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：├─ 生产任务,SCOPE-001/002/003/004；STATE-006/007；MATERIAL-005/006,条文成立；本次仅确认设计语义，当前实现需另核对,,      ├─ 生产任务,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,22,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：├─ 我的跟单,SCOPE-001/002/003/004；STATE-006/007；MATERIAL-005/006,条文成立；本次仅确认设计语义，当前实现需另核对,,      ├─ 我的跟单,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,23,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：├─ 工作项监控,SCOPE-001/002/003/004；STATE-006/007；MATERIAL-005/006,条文成立；本次仅确认设计语义，当前实现需另核对,,      ├─ 工作项监控,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,24,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：├─ 团队与工厂,SCOPE-001/002/003/004；STATE-006/007；MATERIAL-005/006,条文成立；本次仅确认设计语义，当前实现需另核对,,      ├─ 团队与工厂,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,25,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：├─ 订单履约分析,SCOPE-001/002/003/004；STATE-006/007；MATERIAL-005/006,条文成立；本次仅确认设计语义，当前实现需另核对,,      ├─ 订单履约分析,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,26,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：└─ 规则与配置,SCOPE-001/002/003/004；STATE-006/007；MATERIAL-005/006,条文成立；本次仅确认设计语义，当前实现需另核对,,      └─ 规则与配置,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,27,01. 产品定位、菜单与范围,组织文档或图表语法：,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,```,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,29,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：核心问题：一笔生产任务需要做什么、由谁做、应在何时完成、现在做到多少、哪里卡住、是否会影响整体实发，以及责任团队今天先做什么。,背景（产品目标）,条文成立；本次仅确认设计语义，当前实现需另核对,,核心问题：一笔生产任务需要做什么、由谁做、应在何时完成、现在做到多少、哪里卡住、是否会影响整体实发，以及责任团队今天先做什么。,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,31,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：范围包括：阶段／工作项识别、单据关联、条件判断、串并行时效计算、数量和质量进度、预测、整体与局部责任、发货后订单时效核算、规则版本、数据质量、异,SCOPE-003/004,条文成立；本次仅确认设计语义，当前实现需另核对,,范围包括：阶段／工作项识别、单据关联、条件判断、串并行时效计算、数量和质量进度、预测、整体与局部责任、发货后订单时效核算、规则版本、数据质量、异常跟进记录。DDS读取来源事实并解释，业务动作仍在原系统执行；原型允许模拟跳转与演示记录，不实现真实后端、通知通道、鉴权或排产优化引擎。,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,33,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：**两条修正作为全篇前提：**,背景（用户补充优先）,条文成立；本次仅确认设计语义，当前实现需另核对,,**两条修正作为全篇前提：**,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,35,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：- 客户订单在实际发货时才确认关联。生产期间不能先列出“这笔生产任务待发的具体客户订单”，也不能用未知客户订单截止倒排生产。,STATE-006/007,条文成立；本次仅确认设计语义，当前实现需另核对,,- 客户订单在实际发货时才确认关联。生产期间不能先列出“这笔生产任务待发的具体客户订单”，也不能用未知客户订单截止倒排生产。,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,36,01. 产品定位、菜单与范围,确定模块入口、监控范围及两项用户修正｜本行：- 面辅料采购必须追到仓库入库及后续调拨到目标工厂实收；库存足够时也保留调拨全过程。仓库入库、调拨出库、工厂实收是不同事实。,MATERIAL-005/006,条文成立；本次仅确认设计语义，当前实现需另核对,,- 面辅料采购必须追到仓库入库及后续调拨到目标工厂实收；库存足够时也保留调拨全过程。仓库入库、调拨出库、工厂实收是不同事实。,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,38,02. 当前原型依据与需要补齐的部分,组织文档或图表语法：02. 当前原型依据与需要补齐的部分,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,## 02. 当前原型依据与需要补齐的部分,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,40,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：以下是当前代码事实，不是对线上数据库结构的推断。用户提供的线上采购页面是线上业务证据；本地 Mock 不能替代线上事实。,SOURCE-001/002/003/004/005；背景（当前代码依据）,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,以下是当前代码事实，不是对线上数据库结构的推断。用户提供的线上采购页面是线上业务证据；本地 Mock 不能替代线上事实。,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,42,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：已核对位置,SOURCE-001/002/003/004/005；背景（当前代码依据）,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,|已核对位置|当前事实|本设计如何承接|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,43,02. 当前原型依据与需要补齐的部分,组织文档或图表语法：|---|---|---|,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,|---|---|---|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,44,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：`src/data/app-shell-config.ts` DDS配置,SCOPE-001,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,|`src/data/app-shell-config.ts` DDS配置|供应链域已有“物料监控与决策”及7个子页|在同域增加并列菜单；不修改物料模块业务|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,45,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：`src/router/routes.ts`；`src/pages/material-decision/index.ts`,PAGE-001,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,|`src/router/routes.ts`；`src/pages/material-decision/index.ts`|DDS物料页已有独立路由和页面事件入口|复用现有壳、导航与事件组织方式；新模块独立目录|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,46,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：`src/data/fcs/production-demands.ts`,OBJECT-001/002,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,|`src/data/fcs/production-demands.ts`|有来源单号、SPU、跟单、SKU数量、创建时间、生产单关联|保留需求源头，不把生产单创建时间当T0|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,47,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：`src/data/fcs/production-orders.ts`,OBJECT-003,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,|`src/data/fcs/production-orders.ts`|生产单可携带多个来源需求快照|生产单下钻按来源需求分别保留起点、数量和截止|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,48,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：`src/data/pcs-engineering-master-types.ts`；`pcs-engineering-master-repository.ts`,SOURCE-001,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,|`src/data/pcs-engineering-master-types.ts`；`pcs-engineering-master-repository.ts`|准备单按款式／设计版本组织，存在资料复用；尚无本模块需要的显式需求关联|补齐准备单—生产需求关系；不能只按SPU猜测是哪一笔需求|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,49,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：`pcs-engineering-dependency-policy.ts`,SOURCE-002,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,|`pcs-engineering-dependency-policy.ts`|已有8类任务、适用判断、前置关系、样衣与尺码纸样并行等规则|直接承接真实任务类型；细分要求提交、执行、审核等计时节点|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,50,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：`pcs-engineering-preparation-projection.ts`,SOURCE-001；TIME-011,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,|`pcs-engineering-preparation-projection.ts`|现有9类计时投影与固定预算；技术资料确认未作为完整计时节点；需求／生产单号留空；起算随计划／发布等事件|不能把这张局部投影直接复制为全链路时效；补齐源头、确认／发布与基线版本|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,51,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：`pcs-engineering-purchase-linkage.ts`,SOURCE-003,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,|`pcs-engineering-purchase-linkage.ts`|采购联动看物料SKU覆盖及实际下单时间，不能证明足量或到厂|采购下单完成、足量供给、到仓、到厂分别判断|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,52,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：`src/data/fcs/production-demand-early-process-work-orders.ts`,SOURCE-004,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,|`src/data/fcs/production-demand-early-process-work-orders.ts`|需求侧提前染色／印花有来源快照与后续匹配；部分专业任务引用由Mock构造|允许需求阶段提前建加工单；正式监控关联真实任务与版本，不能把构造值当真实完成证据|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,53,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：`src/data/tech-pack-process-route.ts`；FCS加工任务与接收事实,FLOW-002,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,|`src/data/tech-pack-process-route.ts`；FCS加工任务与接收事实|存在工艺路线、任务、投入产出、交出／接收等对象|按实际技术路线生成工作，不把所有工艺强制插入每单|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,54,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：`src/data/fcs/sewing-production-order-duration.ts`,背景（局部车缝现状）,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,|`src/data/fcs/sewing-production-order-duration.ts`|已有车缝时效展示，但含专门演示场景|可借鉴表达；不作为全链路真实时效引擎|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,55,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：`src/data/fcs/sewing-return-calendar.ts`,SOURCE-005,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,|`src/data/fcs/sewing-return-calendar.ts`|旧规则排除起始周某个周日|本模块统一自然日，必须显式隔离／调整规则来源；不能静默复用旧算法|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,56,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：`src/pages/pms-purchase-orders.ts`,SCOPE-004,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,|`src/pages/pms-purchase-orders.ts`|本地采购覆盖范围与线上完整采购模块不同|线上商品采购、材料采购、物流批次需独立Mock映射，不能声称本地已经完整接通|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,57,02. 当前原型依据与需要补齐的部分,记录现有原型和目标方案的衔接｜本行：`src/components/ui/list-page.ts`、`pagination.ts`及同目录组件,DELIVERY-001,现有代码陈述须主代理按当前版本核对；本审阅不将其当已验收实现,,|`src/components/ui/list-page.ts`、`pagination.ts`及同目录组件|已有标准列表、分页等基础组件|延续当前样式和Vanilla TS字符串模板，不引入新UI框架|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,59,02. 当前原型依据与需要补齐的部分,承接八类生产准备任务、复用和采购去重｜本行：**生产准备具体映射：**现有任务为产前样、梭织尺码纸样、毛织尺码纸样、花型、毛纱调色、面料调色、辅料下单、技术资料确认。调色应展开跟单要求、工,SOURCE-002/003；TIME-007/008；OBJECT-005,条文成立；本次仅确认设计语义，当前实现需另核对,,**生产准备具体映射：**现有任务为产前样、梭织尺码纸样、毛织尺码纸样、花型、毛纱调色、面料调色、辅料下单、技术资料确认。调色应展开跟单要求、工厂执行、买手审核；花型展开执行与审核。不同路线适用数量不同，不强制每单8项。已复用资料显示版本、来源、确认时间及“已复用”，不虚构制作耗时。已下单辅料任务与采购来源使用同一事实，不能在PCS和采购阶段重复计时。,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,61,03. 对象、层级与唯一口径,组织文档或图表语法：03. 对象、层级与唯一口径,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,## 03. 对象、层级与唯一口径,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,63,03. 对象、层级与唯一口径,定义任务、准备、生产单、工作与供给等监控对象｜本行：对象,OBJECT-001/002/003/004/005/006/007/008；FLOW-001/002/003,条文成立；本次仅确认设计语义，当前实现需另核对,,|对象|含义与关系|必须保留|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,64,03. 对象、层级与唯一口径,组织文档或图表语法：|---|---|---|,背景（结构行；所属语义见同节正文）,结构行已阅读；不独立认定业务实现通过,,|---|---|---|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,65,03. 对象、层级与唯一口径,定义任务、准备、生产单、工作与供给等监控对象｜本行：生产任务,OBJECT-001/002,条文成立；本次仅确认设计语义，当前实现需另核对,,|生产任务|一笔商品采购／对应生产需求的全程监控对象，二者1:1视为同一任务源头|唯一任务ID、两种业务单号、T0、原始／生效数量、主跟单|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,66,03. 对象、层级与唯一口径,定义任务、准备、生产单、工作与供给等监控对象｜本行：生产准备单,OBJECT-005,条文成立；本次仅确认设计语义，当前实现需另核对,,|生产准备单|承载准备工作及技术版本；关联某需求，也可能通过明确关系被复用|准备单号、需求关联、适用数量、版本、复用依据；不擅定1:1|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,67,03. 对象、层级与唯一口径,定义任务、准备、生产单、工作与供给等监控对象｜本行：生产单,OBJECT-003/004,条文成立；本次仅确认设计语义，当前实现需另核对,,|生产单|组织制造执行，可合并多个需求|来源需求及数量分配快照；每来源T0和截止；唯一主跟单与协同人|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,68,03. 对象、层级与唯一口径,定义任务、准备、生产单、工作与供给等监控对象｜本行：阶段,FLOW-001,条文成立；本次仅确认设计语义，当前实现需另核对,,|阶段|跨任务统一浏览分类|9类目录、实际适用／不适用；不是固定串行顺序|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,69,03. 对象、层级与唯一口径,定义任务、准备、生产单、工作与供给等监控对象｜本行：工作项类型,CONFIG-001/002/003/004,条文成立；本次仅确认设计语义，当前实现需另核对,,|工作项类型|可配置的业务动作定义|适用条件、单据与事件映射、时效规则、默认责任|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,70,03. 对象、层级与唯一口径,定义任务、准备、生产单、工作与供给等监控对象｜本行：工作项实例,FLOW-002,条文成立；本次仅确认设计语义，当前实现需另核对,,|工作项实例|某任务／物料／批次中实际需要做的一次工作|类型、对象、数量、责任、前置、标准／实际／预测时间|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,71,03. 对象、层级与唯一口径,定义任务、准备、生产单、工作与供给等监控对象｜本行：判断事项,FLOW-003；DATA-004,条文成立；本次仅确认设计语义，当前实现需另核对,,|判断事项|某工作是否需要、从哪里供给等尚未决定的事项|判断责任人、应判时间、候选合法路线；未知不能当不需要|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,72,03. 对象、层级与唯一口径,定义任务、准备、生产单、工作与供给等监控对象｜本行：供给分配,OBJECT-007,条文成立；本次仅确认设计语义，当前实现需另核对,,|供给分配|将现货、采购、加工产出分配给某需求的数量关系|输入／目标SKU、单位、需求行、批次、分配量、实际可用量|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,73,03. 对象、层级与唯一口径,定义任务、准备、生产单、工作与供给等监控对象｜本行：物流／调拨批次,MATERIAL-009,条文成立；本次仅确认设计语义，当前实现需另核对,,|物流／调拨批次|采购、转运、调拨的实际数量载体|发出、途中、到仓、入库、到厂实收事件和数量|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,74,03. 对象、层级与唯一口径,定义任务、准备、生产单、工作与供给等监控对象｜本行：实际发货关联,STATE-007；OBJECT-008,条文成立；本次仅确认设计语义，当前实现需另核对,,|实际发货关联|发货时将客户订单行、出库实物批次与任务数量建立关系|订单下单时刻、实际发货时刻、数量、来源批次、撤销／纠错记录|,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
product-design.md,76,03. 对象、层级与唯一口径,保留合并来源时钟并按实例及分配去重｜本行：同一工作可服务多笔生产需求：任务详情可分别展示其影响，但全局工作项数按实例ID去重。共享能力／产出数量必须分配，不能将同一批物料或同一工厂产能完,OBJECT-003/004/006/007,条文成立；本次仅确认设计语义，当前实现需另核对,,同一工作可服务多笔生产需求：任务详情可分别展示其影响，但全局工作项数按实例ID去重。共享能力／产出数量必须分配，不能将同一批物料或同一工厂产能完整计算给多笔任务。生产单多来源时显示“共N个来源任务，最早生效截止…，其中N个风险”，不得用合并时间重置全部时钟。,仅产品文档语义；不构成源码或页面验收,52b4fcb24c0194b77531b422ec60791a6ee3fdf48cc54fecfc4a023e16c2c9ee
